career,annual_average_income,job_demands,job_description,required_skills,required_interests,personality_fit,technical_skills,analytical_skills,communication_skills,creativity,adaptability,education_level,interest_in_tech,interest_in_design,interest_in_management,openness,conscientiousness,extraversion,agreeableness,neuroticism
AI Chatbot Developer,1100000,"User queries, natural language handling","Create conversational bots for various platforms","NLP;Dialogflow;Node.js","Technology;Communication","High openness, moderate conscientiousness",0.85,0.90,0.70,0.65,0.75,0.80,0.90,0.45,0.55,0.70,0.80,0.50,0.65,0.40
Drone Delivery Coordinator,800000,"Logistics scheduling, flight regulations","Manage and optimize drone-based deliveries","Route Planning;Drone Ops;Compliance","Technology;Logistics","Moderate openness, moderate extraversion",0.60,0.70,0.65,0.50,0.70,0.60,0.80,0.40,0.40,0.65,0.70,0.60,0.55,0.45
Genetic Editor,1500000,"Lab-based gene editing, ethical checks","Use CRISPR to modify genetic code","CRISPR;Molecular Biology;Bioinformatics","Healthcare;Research","High openness, high analytical thinking",0.95,0.95,0.60,0.70,0.80,1.0,0.95,0.30,0.45,0.85,0.90,0.60,0.60,0.35
Synthetic Biologist,1400000,"Experimental labs, iterative design","Engineer biological systems for new functions","DNA Assembly;Cell Culture;CAD Tools","Healthcare;Research","High openness, moderate conscientiousness",0.90,0.88,0.55,0.70,0.75,0.80,0.90,0.30,0.40,0.80,0.85,0.60,0.55,0.35
Mixed Reality Artist,900000,"Creative design, hardware constraints","Combine AR/VR elements into artistic experiences","3D Modeling;Unity;Visual Design","Arts;Technology","High creativity, moderate openness",0.70,0.70,0.60,0.95,0.75,0.60,0.65,0.95,0.35,0.85,0.75,0.55,0.65,0.40
NFT Marketplace Manager,1000000,"Emerging tech, crypto volatility","Oversee token listing, marketing, user trust","Blockchain;Marketing;Community","Technology;Business","Moderate openness, moderate extraversion",0.65,0.75,0.75,0.60,0.70,0.80,0.80,0.35,0.65,0.70,0.70,0.60,0.60,0.40
Cyber Law Specialist,1300000,"Legal compliance, data protection","Handle legal aspects of cybersecurity and privacy","IT Law;Drafting;Negotiation","Legal;Technology","High conscientiousness, moderate openness",0.70,0.80,0.80,0.50,0.70,0.80,0.75,0.40,0.50,0.65,0.70,0.60,0.60,0.35
Forensic Accountant,950000,"Detect fraud, analyze financial evidence","Investigate financial irregularities for legal cases","Accounting;Investigations;Auditing","Business;Legal","Moderate openness, high conscientiousness",0.50,0.85,0.70,0.40,0.60,0.80,0.50,0.35,0.45,0.65,0.75,0.70,0.55,0.40
E-sports Coach,750000,"Team management, high-pressure tournaments","Train professional gamers, develop strategies","Game Tactics;Team Building;Motivation","Gaming;Sports","Moderate extraversion, moderate agreeableness",0.40,0.60,0.85,0.70,0.70,0.50,0.35,0.20,0.65,0.70,0.70,0.70,0.65,0.45
VR Therapist,700000,"Client sessions in virtual environments","Use VR tools for mental health therapy","Psychology;VR Tools;Empathy","Healthcare;Technology","High agreeableness, moderate openness",0.40,0.60,0.80,0.70,0.75,1.0,0.40,0.20,0.50,0.70,0.80,0.80,0.70,0.45
Medical Equipment Designer,900000,"R&D labs, regulatory standards","Invent or improve medical devices","Product Design;Biomedical;CAD","Healthcare;Manufacturing","High conscientiousness, moderate openness",0.70,0.75,0.65,0.60,0.80,1.0,0.75,0.45,0.40,0.65,0.78,0.65,0.60,0.35
Techno-legal Consultant,1150000,"Complex IT laws, compliance","Advise clients on technology and legal overlaps","Legal Drafting;IT Systems;Risk Analysis","Technology;Legal","Moderate openness, moderate conscientiousness",0.65,0.80,0.70,0.50,0.75,0.80,0.70,0.30,0.50,0.60,0.70,0.60,0.55,0.35
Agricultural Economist,650000,"Farm policy, market fluctuations","Analyze agricultural data, advise on pricing","Economics;Stats;Policy","Agriculture;Research","Moderate openness, moderate analytical",0.60,0.75,0.65,0.50,0.70,0.60,0.55,0.30,0.40,0.60,0.70,0.55,0.55,0.40
Global Sourcing Manager,950000,"Supplier relations, global trade","Manage international supply chains, cost control","Negotiation;Vendor Mgmt;Logistics","Business;Manufacturing","Moderate extraversion, moderate conscientiousness",0.65,0.70,0.75,0.40,0.70,0.60,0.60,0.30,0.70,0.70,0.70,0.60,0.60,0.45
UX Researcher,800000,"User interviews, data analysis","Investigate user behaviors to shape design","Qualitative Methods;Survey;Prototyping","Design;Research","Moderate openness, moderate agreeableness",0.60,0.75,0.80,0.70,0.75,0.60,0.65,0.80,0.40,0.70,0.75,0.60,0.65,0.40
Digital Twin Engineer,1300000,"High-end simulation, real-time data","Develop digital replicas of physical systems","3D Modeling;IoT;Simulation Tools","Technology;Manufacturing","High analytical, moderate openness",0.92,0.92,0.60,0.65,0.80,1.0,0.93,0.40,0.45,0.80,0.85,0.55,0.60,0.35
Oceanographer,750000,"Field expeditions, data collection","Study ocean currents, marine life, climate impacts","Marine Science;Diving;Data Analysis","Environment;Research","High openness, moderate conscientiousness",0.60,0.75,0.65,0.55,0.70,0.80,0.60,0.30,0.40,0.65,0.75,0.55,0.60,0.35
Marine Robotics Engineer,1400000,"Underwater robotics, harsh conditions","Design robots for ocean exploration","Mechanical;Control Systems;Sonar","Technology;Marine","High analytical, moderate openness",0.90,0.90,0.60,0.70,0.85,1.0,0.92,0.45,0.40,0.75,0.80,0.50,0.55,0.35
Digital Textile Designer,700000,"Creative patterns, color management","Develop prints or digital fabrics for fashion","Photoshop;Fabric Tech;CAD","Arts;Design","High creativity, moderate openness",0.50,0.60,0.65,0.90,0.70,0.60,0.55,0.90,0.35,0.80,0.70,0.55,0.65,0.40
AI Music Composer,900000,"Algorithmic composition, creative mixing","Use ML to generate original music pieces","ML Tools;Music Theory;Sound Editing","Technology;Arts","High creativity, moderate analytical",0.65,0.70,0.60,0.90,0.75,0.60,0.70,0.80,0.40,0.85,0.75,0.55,0.65,0.40
Space Law Advisor,1250000,"International treaties, satellite disputes","Handle legal frameworks for outer space activities","Legal Treaties;Policy;Arbitration","Legal;Aerospace","Moderate openness, high conscientiousness",0.60,0.80,0.70,0.50,0.70,0.80,0.65,0.35,0.45,0.65,0.70,0.60,0.60,0.40
Satellite Operations Specialist,1300000,"Monitoring orbits, system anomalies","Operate satellites, track telemetry","Orbital Mechanics;Ground Control;Electronics","Aerospace;Technology","Moderate openness, moderate analytical",0.88,0.90,0.55,0.50,0.75,0.80,0.92,0.40,0.35,0.70,0.80,0.55,0.65,0.40
Astrophysicist,1500000,"Research, cosmic data analysis","Study stars, galaxies, phenomena","Physics;Math;Data Processing","Research;Academia","High openness, moderate conscientiousness",0.90,0.95,0.55,0.65,0.70,1.0,0.95,0.30,0.30,0.80,0.85,0.50,0.55,0.35
Cognitive Computing Specialist,1600000,"AI-human interface, advanced research","Develop systems that mimic human cognition","Neuroscience;Machine Learning;Python","Research;Technology","High openness, high analytical",0.94,0.96,0.60,0.65,0.75,1.0,0.96,0.30,0.40,0.85,0.88,0.50,0.55,0.30
Bioinformatician,950000,"Large DNA data sets, high precision","Analyze biological data, create pipelines","R;Genomics;Data Wrangling","Healthcare;Research","High analytical, moderate openness",0.85,0.90,0.50,0.50,0.70,1.0,0.85,0.30,0.40,0.70,0.80,0.60,0.60,0.35
Epidemiologist,800000,"Fieldwork, outbreak investigations","Study disease spread, advise public health","Statistics;Modeling;Medical Knowledge","Healthcare;Government","High conscientiousness, moderate openness",0.60,0.80,0.75,0.55,0.75,1.0,0.65,0.30,0.45,0.65,0.75,0.55,0.65,0.40
Alternative Energy Consultant,850000,"Client advising, new tech adoption","Promote solar, wind, biofuel solutions","Renewable Tech;Market Analysis;Policy","Environment;Business","Moderate extraversion, moderate conscientiousness",0.65,0.70,0.70,0.60,0.80,0.80,0.70,0.40,0.60,0.65,0.70,0.60,0.60,0.40
Smart Grid Engineer,1200000,"Power distribution, system stability","Develop intelligent electrical grid solutions","Power Systems;IoT;Networking","Technology;Energy","High analytical, moderate openness",0.90,0.92,0.55,0.60,0.80,1.0,0.90,0.45,0.40,0.75,0.85,0.50,0.55,0.35
Vertical Farming Specialist,700000,"Indoor farming, resource optimization","Grow crops in vertical stacks, manage hydroponics","Horticulture;Automation;Monitoring","Agriculture;Technology","Moderate openness, moderate agreeableness",0.60,0.70,0.50,0.60,0.70,0.70,0.60,0.30,0.40,0.65,0.70,0.60,0.60,0.40
Carbon Credit Trader,900000,"Market trades, climate policies","Facilitate buying/selling of carbon offsets","Finance;Environment;Analysis","Business;Environment","Moderate openness, moderate conscientiousness",0.55,0.75,0.65,0.40,0.70,0.60,0.70,0.30,0.40,0.65,0.70,0.60,0.60,0.45
Environmental Lobbyist,750000,"Influence policy, frequent advocacy","Work with lawmakers on climate legislation","Persuasion;Policy;Research","Government;Environment","Moderate extraversion, moderate agreeableness",0.45,0.60,0.80,0.50,0.70,0.80,0.40,0.30,0.60,0.70,0.70,0.65,0.60,0.40
Mindfulness Coach,500000,"Client sessions, mental well-being","Teach mindfulness and stress management","Meditation;Empathy;Workshops","Healthcare;Wellness","High agreeableness, moderate openness",0.30,0.50,0.85,0.70,0.70,0.60,0.30,0.10,0.50,0.80,0.70,0.80,0.70,0.40
Spiritual Healer,400000,"Emotional labor, client reliance","Provide spiritual or holistic therapy","Energy Healing;Counseling;Empathy","Wellness;Spirituality","High agreeableness, low neuroticism",0.20,0.30,0.85,0.60,0.60,0.50,0.20,0.10,0.30,0.70,0.60,0.75,0.80,0.25
Genomic Data Curator,850000,"Data validation, lab ethics","Organize and maintain genomic databases","Bioinformatics;Data QA;Ethics","Research;Healthcare","Moderate openness, high conscientiousness",0.80,0.88,0.50,0.45,0.70,1.0,0.80,0.35,0.40,0.60,0.75,0.65,0.55,0.35
Gerontologist,600000,"Elderly care, research on aging","Study and assist in aging-related health issues","Medical Knowledge;Psychology;Empathy","Healthcare;Social","High agreeableness, moderate conscientiousness",0.40,0.60,0.75,0.50,0.70,1.0,0.40,0.20,0.50,0.70,0.75,0.70,0.70,0.45
Speech-Language Pathologist,550000,"Client therapy sessions","Diagnose and treat speech/communication disorders","Linguistics;Therapy;Patient Care","Healthcare;Education","High agreeableness, moderate openness",0.40,0.60,0.85,0.60,0.75,0.80,0.40,0.20,0.45,0.70,0.75,0.75,0.65,0.40
Cardiac Perfusionist,850000,"Surgery stress, precision","Operate heart-lung machines during operations","Medical Devices;Circulatory Systems;Monitoring","Healthcare;Critical Care","High conscientiousness, moderate agreeableness",0.50,0.70,0.60,0.40,0.75,1.0,0.55,0.30,0.35,0.60,0.70,0.70,0.60,0.40
IVF Specialist,1200000,"Patient counseling, lab precision","Assist couples with fertility treatments","Obstetrics;Lab Techniques;Patient Care","Healthcare;Research","High agreeableness, moderate conscientiousness",0.60,0.80,0.75,0.50,0.80,1.0,0.65,0.30,0.40,0.60,0.75,0.70,0.70,0.35
Sleep Technologist,500000,"Night shifts, monitoring patients","Conduct sleep studies, interpret data","Polysomnography;Physiology;Patient Care","Healthcare;Research","Moderate openness, moderate conscientiousness",0.40,0.65,0.65,0.40,0.70,0.80,0.50,0.20,0.30,0.55,0.70,0.60,0.55,0.40
Pedicurist/Manicurist,300000,"Salon environment, repetitive tasks","Groom and beautify clients' nails","Hygiene;Customer Service;Attention to Detail","Beauty;Hospitality","Moderate agreeableness, moderate conscientiousness",0.20,0.30,0.80,0.70,0.60,0.50,0.20,0.10,0.40,0.65,0.65,0.60,0.60,0.35
Ayurvedic Doctor,600000,"Holistic treatments, patient trust","Diagnose and treat using Ayurveda principles","Herbal Medicine;Diet;Counseling","Healthcare;Traditional Medicine","High agreeableness, moderate conscientiousness",0.50,0.60,0.80,0.55,0.70,1.0,0.50,0.25,0.45,0.65,0.75,0.70,0.65,0.40
Yoga Retreat Organizer,550000,"Event planning, tranquil environment","Plan yoga-based wellness retreats","Logistics;Marketing;Spiritual Knowledge","Hospitality;Wellness","Moderate extraversion, moderate openness",0.30,0.40,0.85,0.70,0.75,0.60,0.30,0.20,0.50,0.75,0.70,0.70,0.60,0.40
Vegan Chef,500000,"Kitchen creativity, specialized diets","Create plant-based meals in restaurants","Culinary;Nutrition;Menu Design","Hospitality;Wellness","High creativity, moderate extraversion",0.40,0.50,0.80,0.85,0.75,0.60,0.40,0.70,0.40,0.75,0.70,0.60,0.65,0.45
Food Blogger,450000,"Restaurant visits, content creation","Review eateries, share recipes online","Writing;Photography;Social Media","Media;Food","Moderate openness, moderate extraversion",0.30,0.50,0.85,0.75,0.70,0.60,0.30,0.60,0.70,0.70,0.70,0.65,0.60,0.40
Rare Cuisine Specialist,700000,"Unique ingredients, creative plating","Prepare rare or heritage dishes","Cooking Skills;Cultural Knowledge;R&D","Hospitality;Arts","High creativity, moderate conscientiousness",0.55,0.60,0.75,0.90,0.70,0.60,0.50,0.85,0.45,0.80,0.70,0.55,0.65,0.40
Food Safety Inspector,600000,"Field inspections, regulatory checks","Ensure food establishments meet health standards","Auditing;Hygiene;Legal Compliance","Government;Hospitality","Moderate conscientiousness, moderate agreeableness",0.45,0.65,0.65,0.40,0.70,0.80,0.50,0.30,0.40,0.65,0.70,0.60,0.60,0.40
Construction Project Manager,900000,"On-site supervision, time management","Plan and execute construction projects","Scheduling;Budgeting;Team Coordination","Business;Manufacturing","Moderate extraversion, moderate conscientiousness",0.65,0.75,0.70,0.40,0.70,0.60,0.60,0.35,0.70,0.70,0.70,0.60,0.60,0.45
Real Estate Appraiser,700000,"Market analysis, property visits","Evaluate property value for sales or loans","Valuation;Market Trends;Negotiation","Business;Finance","Moderate openness, moderate conscientiousness",0.50,0.70,0.65,0.40,0.65,0.60,0.50,0.25,0.40,0.60,0.70,0.60,0.55,0.40
PropTech Solutions Developer,1100000,"Platform scalability, real-estate data","Build software to streamline property dealings","Full Stack;GIS;APIs","Technology;Real Estate","Moderate analytical, moderate openness",0.85,0.85,0.65,0.60,0.75,1.0,0.90,0.50,0.45,0.70,0.75,0.60,0.65,0.40
Drone Surveyor,650000,"Outdoor mapping, geo-accuracy","Use drones to survey land or properties","Surveying;Drone Piloting;Data Processing","Technology;Mapping","Moderate openness, moderate conscientiousness",0.60,0.70,0.55,0.50,0.65,0.70,0.60,0.30,0.40,0.60,0.70,0.55,0.55,0.40
Renewable Construction Specialist,850000,"Green building methods, site management","Integrate eco-friendly materials in construction","LEED;Sustainability;Engineering","Environment;Construction","Moderate conscientiousness, moderate openness",0.75,0.80,0.60,0.60,0.80,0.80,0.70,0.40,0.55,0.65,0.75,0.60,0.60,0.35
HVAC Engineer,750000,"Building comfort, system efficiency","Design heating, ventilation, air conditioning setups","Thermodynamics;AutoCAD;Maintenance","Manufacturing;Construction","Moderate analytical, moderate conscientiousness",0.70,0.75,0.50,0.40,0.70,0.60,0.65,0.30,0.35,0.60,0.70,0.55,0.55,0.40
Mechatronics Technician,600000,"Assembly lines, mechanical-electrical tasks","Install and repair mechatronic components","PLC;Mechanics;Electronics","Manufacturing;Technology","Moderate openness, moderate conscientiousness",0.65,0.70,0.50,0.45,0.70,0.60,0.60,0.35,0.35,0.60,0.65,0.55,0.55,0.40
CNC Programmer,550000,"Precision machining, tool path generation","Create programs for computer-controlled machines","G-code;CAM Software;3D Modeling","Manufacturing;Technology","Moderate analytical, moderate conscientiousness",0.70,0.75,0.50,0.45,0.65,0.60,0.65,0.30,0.30,0.60,0.65,0.55,0.55,0.40
Fashion Stylist,650000,"Client coordination, brand aesthetics","Dress clients, plan looks for events","Color Theory;Fashion Trends;Networking","Arts;Marketing","Moderate extraversion, moderate creativity",0.45,0.55,0.80,0.85,0.70,0.60,0.30,0.60,0.55,0.70,0.70,0.65,0.60,0.45
Luxury Brand Manager,1200000,"High-end client relations, brand integrity","Oversee brand image, target premium market","Marketing Strategy;PR;Trend Analysis","Business;Fashion","Moderate extraversion, high conscientiousness",0.60,0.80,0.85,0.60,0.80,0.80,0.65,0.40,0.75,0.75,0.70,0.65,0.65,0.40
Cosmetic Chemist,900000,"Formulation labs, product testing","Develop skincare, cosmetic products","Chemistry;R&D;Regulatory Knowledge","Beauty;Manufacturing","Moderate openness, moderate conscientiousness",0.55,0.70,0.65,0.65,0.75,0.80,0.60,0.30,0.35,0.65,0.70,0.60,0.60,0.40
Perfumer,850000,"Scent creation, trial & error","Compose fragrances blending various aromatics","Chemistry;Olfactory Training;Creativity","Beauty;Arts","High creativity, moderate conscientiousness",0.45,0.50,0.65,0.90,0.70,0.60,0.40,0.80,0.35,0.75,0.70,0.55,0.60,0.40
Tattoo Artist,400000,"Artistic skill, hygiene standards","Design and ink tattoos on clients","Sketching;Tattoo Machines;Safety","Arts;Body Art","High creativity, moderate openness",0.40,0.40,0.70,0.90,0.70,0.50,0.35,0.80,0.30,0.75,0.70,0.55,0.60,0.45
Voice-over Artist,500000,"Vocal clarity, script interpretation","Record voice for ads, animations, narration","Voice Modulation;Acting;Diction","Media;Entertainment","Moderate extraversion, moderate creativity",0.30,0.40,0.90,0.75,0.65,0.60,0.25,0.60,0.70,0.75,0.65,0.65,0.65,0.40
Film Colorist,700000,"Color grading, post-production stress","Adjust color tones for films/TV shows","DaVinci Resolve;Aesthetic Sense;Editing","Media;Arts","High creativity, moderate conscientiousness",0.55,0.60,0.70,0.90,0.70,0.60,0.50,0.85,0.30,0.80,0.70,0.55,0.60,0.40
Cinematographer,1000000,"Long shoots, creative angles","Capture visuals that convey story and mood","Camera Handling;Lighting;Composition","Media;Arts","High creativity, moderate openness",0.60,0.65,0.70,0.95,0.75,0.60,0.50,0.90,0.40,0.85,0.75,0.60,0.65,0.40
Location Scout,600000,"Travel, logistical checks","Find and evaluate locations for film shoots","Photography;Negotiation;Geography","Media;Travel","Moderate extraversion, moderate conscientiousness",0.40,0.50,0.70,0.60,0.65,0.60,0.35,0.25,0.55,0.65,0.65,0.60,0.60,0.45
Audio Description Writer,450000,"Attention to detail, empathy","Create descriptive narrations for visually impaired","Script Writing;Audio Timings;Empathy","Media;Social Service","Moderate agreeableness, moderate openness",0.30,0.40,0.85,0.60,0.60,0.60,0.35,0.20,0.30,0.65,0.70,0.65,0.55,0.35
Accessibility Specialist,700000,"User-centric design, compliance","Ensure apps/sites are accessible to all","WCAG Standards;UI Testing;Empathy","Technology;Social","Moderate openness, high conscientiousness",0.60,0.70,0.70,0.55,0.75,0.80,0.65,0.40,0.50,0.70,0.75,0.65,0.65,0.40
Resilience Coach,500000,"Personal development, stress management","Help individuals build resilience skills","Counseling;Motivation;Strategy","Wellness;Education","High agreeableness, moderate openness",0.35,0.50,0.85,0.65,0.70,0.60,0.30,0.10,0.50,0.75,0.70,0.80,0.70,0.40
Innovation Facilitator,900000,"Idea generation, creative workshops","Guide teams to develop innovative solutions","Workshop Design;Brainstorming;Design Thinking","Business;Education","High creativity, moderate extraversion",0.65,0.70,0.85,0.90,0.80,0.60,0.70,0.85,0.60,0.80,0.75,0.60,0.65,0.40
TEDx Organizer,400000,"Event coordination, speaker curation","Plan and host local TEDx conferences","Event Management;Speaker Outreach;Branding","Media;Education","Moderate extraversion, moderate conscientiousness",0.30,0.45,0.85,0.60,0.70,0.60,0.35,0.25,0.60,0.65,0.65,0.65,0.60,0.40
Climate Action Campaigner,550000,"Grassroots organizing, policy push","Mobilize citizens and lobby for climate actions","Advocacy;Policy;Public Speaking","Social;Environment","Moderate extraversion, moderate agreeableness",0.40,0.55,0.80,0.70,0.75,0.80,0.40,0.30,0.65,0.70,0.70,0.70,0.60,0.40
Sustainable Fashion Consultant,600000,"Eco-friendly materials, brand strategy","Advise brands on ethical, green apparel","Fabric Knowledge;Sourcing;Sustainability","Arts;Business","Moderate conscientiousness, moderate openness",0.50,0.60,0.70,0.80,0.75,0.60,0.60,0.50,0.50,0.70,0.70,0.60,0.60,0.35
Futurist/Trend Analyst,950000,"Predict societal/tech trends","Research signals of change, advise on future plans","Research;Analysis;Scenario Planning","Business;Technology","High openness, moderate conscientiousness",0.70,0.85,0.60,0.70,0.75,0.80,0.75,0.35,0.45,0.75,0.80,0.55,0.65,0.35
Global Logistics Analyst,850000,"Cross-border shipping, data crunch","Optimize international logistics networks","Freight Management;Analytics;Customs","Business;Transport","Moderate openness, moderate analytical",0.65,0.80,0.65,0.40,0.70,0.80,0.70,0.30,0.40,0.65,0.70,0.60,0.60,0.40
Crowdfunding Manager,600000,"Platform usage, campaign marketing","Help projects raise funds through crowdfunding","Marketing;Storytelling;Finance","Business;Social","Moderate extraversion, moderate creativity",0.45,0.55,0.80,0.80,0.75,0.60,0.35,0.70,0.70,0.65,0.70,0.65,0.65,0.45
Inclusion & Diversity Officer,750000,"Workplace policies, cultural sensitivity","Promote inclusive environment and equal opportunity","HR Policy;Mediation;Training","Business;Social","Moderate agreeableness, moderate conscientiousness",0.40,0.65,0.75,0.60,0.70,0.60,0.50,0.30,0.50,0.65,0.70,0.60,0.60,0.40
Online Reputation Manager,700000,"Brand image, social media crises","Monitor and improve a company’s online presence","PR;Analytics;Conflict Resolution","Marketing;Technology","Moderate extraversion, moderate openness",0.45,0.55,0.85,0.70,0.75,0.60,0.40,0.80,0.70,0.70,0.70,0.65,0.60,0.40
Multilingual Tour Guide,500000,"City tours, language bridging","Lead tourists, explain cultural significance","Translation;History;Public Speaking","Hospitality;Languages","Moderate extraversion, moderate agreeableness",0.40,0.50,0.85,0.60,0.70,0.50,0.35,0.20,0.70,0.65,0.70,0.70,0.60,0.40
Mind-Body Fitness Instructor,450000,"Holistic approach, personalized training","Blend yoga, pilates, meditation for wellness","Yoga;Pilates;Stress Management","Wellness;Fitness","Moderate extraversion, high agreeableness",0.30,0.40,0.80,0.70,0.75,0.60,0.30,0.20,0.50,0.75,0.70,0.80,0.70,0.40
Sports Nutritionist,600000,"Athlete dietary planning","Design nutrition plans to enhance sports performance","Diet Analysis;Sports Physiology;Motivation","Sports;Wellness","High agreeableness, moderate conscientiousness",0.35,0.60,0.80,0.60,0.70,0.60,0.35,0.20,0.50,0.70,0.70,0.75,0.65,0.40
Aquatic Ecologist,650000,"Field sampling, water ecosystems","Study aquatic environments, preserve biodiversity","Sampling;Data Analysis;Conservation","Environment;Research","High openness, moderate conscientiousness",0.60,0.75,0.60,0.55,0.75,0.80,0.60,0.30,0.40,0.65,0.75,0.55,0.60,0.35
Animal Assisted Therapist,550000,"Work with therapy animals, emotional support","Help patients using trained therapy animals","Animal Handling;Psychology;Empathy","Healthcare;Social Work","High agreeableness, moderate openness",0.35,0.50,0.85,0.65,0.70,0.80,0.30,0.20,0.40,0.70,0.75,0.80,0.70,0.50
Cultural Heritage Manager,600000,"Preserve historical sites, community outreach","Oversee heritage projects and maintain authenticity","Archaeology;Project Mgmt;Policy","Government;Arts","Moderate openness, moderate conscientiousness",0.55,0.60,0.70,0.50,0.70,0.80,0.55,0.25,0.40,0.60,0.70,0.60,0.60,0.40
Wellness Retreat Chef,500000,"Health-focused cuisine, balanced meals","Prepare nutritious menus for wellness programs","Healthy Cooking;Meal Planning;Diet","Hospitality;Wellness","High creativity, moderate agreeableness",0.45,0.50,0.75,0.85,0.70,0.60,0.40,0.70,0.40,0.75,0.70,0.60,0.65,0.45
Game Economy Designer,950000,"Balance virtual economies, user engagement","Plan in-game currencies, rewards, monetization","Game Theory;Analytics;UX","Technology;Gaming","High analytical, moderate creativity",0.80,0.90,0.60,0.70,0.75,0.60,0.85,0.70,0.40,0.80,0.80,0.55,0.60,0.40
Playable Ads Developer,700000,"Mobile advertising, minigame creation","Design interactive ads for mobile platforms","HTML5;Game Design;Marketing","Media;Technology","Moderate creativity, moderate openness",0.65,0.70,0.75,0.80,0.70,0.60,0.70,0.75,0.40,0.75,0.75,0.55,0.65,0.40
Esports Journalist,600000,"Fast-paced reporting, gaming knowledge","Cover esports events, interview pro players","Writing;Interviewing;Game Analysis","Media;Gaming","Moderate openness, moderate extraversion",0.40,0.60,0.85,0.80,0.75,0.60,0.60,0.75,0.70,0.75,0.70,0.60,0.65,0.45
Cloud Security Consultant,1300000,"Advanced threats, compliance","Secure cloud infrastructures and policies","Cloud Platforms;Security Audits;IAM","Technology;Cybersecurity","Moderate openness, high conscientiousness",0.90,0.92,0.65,0.60,0.80,1.0,0.95,0.40,0.50,0.70,0.85,0.50,0.65,0.40
Hardware Prototyping Engineer,1200000,"Electronics lab, iterative design","Develop prototypes for new hardware concepts","PCB Design;Soldering;Microcontrollers","Technology;Manufacturing","High analytical, moderate openness",0.88,0.90,0.55,0.60,0.80,1.0,0.88,0.40,0.40,0.70,0.80,0.50,0.55,0.35
Space Tourism Coordinator,1100000,"Client orientation, safety protocols","Arrange commercial space flight experiences","Aerospace Basics;Marketing;Logistics","Travel;Aerospace","Moderate extraversion, moderate conscientiousness",0.60,0.65,0.70,0.50,0.70,0.80,0.60,0.30,0.70,0.70,0.70,0.60,0.60,0.40
Cosmetic Dermatologist,1200000,"Patient consultations, aesthetic treatments","Provide skincare, anti-aging, cosmetic solutions","Dermatology;Laser;Counseling","Healthcare;Beauty","High agreeableness, moderate conscientiousness",0.60,0.70,0.80,0.55,0.75,1.0,0.65,0.30,0.45,0.65,0.75,0.70,0.70,0.35
Cruise Director,800000,"Onboard entertainment, guest relations","Plan events, coordinate staff on cruise ships","Hospitality;Leadership;Event Planning","Hospitality;Travel","Moderate extraversion, moderate openness",0.50,0.60,0.85,0.60,0.70,0.60,0.40,0.30,0.80,0.70,0.70,0.65,0.60,0.40
Museum Exhibit Designer,700000,"Artistic layout, historical context","Create engaging museum installations","CAD;Art History;Spatial Design","Arts;Education","High creativity, moderate conscientiousness",0.60,0.65,0.65,0.90,0.70,0.60,0.55,0.90,0.35,0.80,0.70,0.55,0.60,0.40
Aquarium Manager,650000,"Marine wildlife care, visitor engagement","Oversee aquarium exhibits, aquatic animal welfare","Marine Biology;Customer Service;Operations","Hospitality;Environment","Moderate conscientiousness, moderate openness",0.55,0.65,0.70,0.50,0.65,0.80,0.55,0.25,0.40,0.60,0.70,0.60,0.60,0.40
Certified Sommelier,500000,"Taste training, customer recommendations","Advise on wine selection, manage wine cellars","Wine Knowledge;Service;Sales","Hospitality;Food","Moderate extraversion, moderate openness",0.35,0.50,0.85,0.65,0.70,0.60,0.30,0.20,0.60,0.70,0.70,0.70,0.60,0.40
Solar Maintenance Engineer,550000,"Field repairs, system monitoring","Maintain and troubleshoot solar panel setups","Electrical;Diagnostics;Safety","Energy;Technology","Moderate openness, moderate conscientiousness",0.60,0.65,0.55,0.50,0.70,0.60,0.70,0.35,0.35,0.60,0.70,0.55,0.55,0.45
Food Waste Auditor,400000,"Site visits, supply chain assessment","Identify food wastage points, propose solutions","Data Collection;Logistics;Sustainability","Business;Environment","Moderate conscientiousness, moderate agreeableness",0.45,0.60,0.65,0.40,0.70,0.80,0.50,0.30,0.40,0.65,0.70,0.60,0.60,0.40
Hyperlocal Delivery Manager,550000,"Operations scheduling, last-mile logistics","Coordinate small-radius deliveries in city areas","Routing;Team Management;Negotiation","Business;Logistics","Moderate extraversion, moderate conscientiousness",0.50,0.65,0.70,0.40,0.70,0.60,0.60,0.30,0.70,0.70,0.70,0.60,0.60,0.45
Battery Technologist,900000,"Battery chemistry, performance testing","Develop advanced batteries for electric vehicles","Chemistry;R&D;Prototyping","Technology;Manufacturing","High analytical, moderate conscientiousness",0.85,0.90,0.50,0.55,0.75,1.0,0.88,0.35,0.35,0.70,0.80,0.60,0.55,0.35
EV Charging Infrastructure Planner,850000,"Power grids, site scouting","Plan and set up charging stations for electric vehicles","Electrical;Urban Planning;Logistics","Technology;Transport","Moderate openness, moderate conscientiousness",0.70,0.80,0.60,0.45,0.75,0.80,0.75,0.40,0.40,0.65,0.70,0.55,0.60,0.40
Solar Sales Executive,500000,"Sales targets, client site visits","Sell and market solar energy solutions","Negotiation;Presentation;Renewable Basics","Business;Energy","Moderate extraversion, moderate openness",0.45,0.55,0.80,0.50,0.70,0.60,0.40,0.30,0.60,0.65,0.70,0.65,0.60,0.40
